명칭,우편번호,주소,위도,경도,개요,문의 및 안내,개장일,쉬는날,이용시간,주차시설,시설정보
고내포구,63045,제주특별자치도 제주시 애월읍 고내리 1111-4,33.4670588041,126.3379150223,"제주시 애월읍에 자리한 고내 포구는 에메랄드빛 제주 바다를 감상할 수 있는 애월읍 해안도로를 따라 달리다 보면 지나게 되는 작은 포구이다. 여유롭고 고즈넉한 어촌 마을의 분위기가 가득한 이곳은 맑고 깨끗한 바다와 올레길 16코스로 인해 관광객이 많이 찾는 곳이다. 바다를 향해 길게 나 있는 방파제에는 사진을 찍으려는 사람들은 물론, 의자를 펴고 취미 낚시를 즐기는 사람을 종종 볼 수 있다. 물이 워낙 맑아서 바다를 들여다보면 물고기가 돌아다니는 모습이 직접 보일 정도다. 제주 올레길 16코스의 시작이자 15코스의 종점이기도 하다.",064-740-6000,,없음,상시 개방,있음,
성산세화해안도로,63364,제주특별자치도 제주시 구좌읍 종달리 112-1시작점,33.510090917,126.9065285449,"제주도 동쪽 끝자락의 해안을 따라 형성된 해안도로로, 구좌읍 세화리에서 서귀포시 성산읍 성산리까지 이어진다. 총 길이는 15.8km로 제주도 해안도로 중 가장 길이가 길며, 아름답기로 유명해 사람들이 많이 찾는다. 바다를 끼고 길게 이어지는 해안도로를 따라 자전거 전용도로가 마련돼 있어 드라이브를 즐기려는 관광객뿐만 아니라 자전거 타기와 하이킹을 하는 사람들도 많이 찾는다. 주변 관광지로는 외세의 침입에 대비해 조선 시대에 축조한 성곽인 별방진, 넓은 백사장과 맑은 바닷물을 자랑하는 하도해수욕장, 세화해수욕장 등이 있다.",064-740-6000,,연중무휴,상시개방,가능,화장실있음
서귀포항,63596,제주특별자치도 서귀포시 칠십리로72번길 14(서귀동),33.239159804,126.5648726592,"서귀포항은 우리나라 최남단에 자리하고 있으며, 한라산이 있어 여름을 제외하고 평온한 해상 날씨를 자랑한다. 어선뿐만 아니라 관광 항구로서도, 관광 잠수함, 유람선, 선상낚시, 제트보트, 스쿠버다이빙 등 다양한 레저시설이 함께 있는 곳이다. 서귀포항 주변에는 문섬과 새섬, 섶섬 등 아름다운 섬들이 펼쳐져 있어 해양 생태계 보전지역 및 해양 보호지역으로 지정되어 있다. 특히 문섬 앞바다는 산호 풍경이 아름다워 다이버들이 즐겨 찾는 곳이기도 하다. 서귀포항을 지나면 새연교를 따라 이어지는 새섬 공원도 있어 한적한 바다와 해안을 둘러보기에 좋다.",064-740-6000,,,상시 개방,주차가능,
도두항,63113,제주특별자치도 제주시 도공로 2(도두일동),33.5061675974,126.4650003076,"도두항은 용두암 해안도로와 이호테우 사이에 있는 방파제로, 관탈도와 추자도행 낚시 배들이 출항하는 곳으로 유명하다. 제주 국제공항에서 차로 15분 거리에 있고, 발판도 비교적 좋아 낚시꾼들이 즐겨 찾는다. 제주 시내에서 가깝고, 신선한 해산물이 있는 유명 맛집, 낚시점들이 있어 관광객과 현지인 모두 편리하게 이용할 수 있다. 또한, 유람선과 요트 등 해양 레저 시설도 있어 많은 관광객이 찾는 곳이다.",064-740-6000,,없음,상시개방,있음,
사수항,63112,제주특별자치도 제주시 서해안로 319(도두이동),33.5096285563,126.4795267435,"사수항은 제주 국제공항 바로 뒤편에 있는 작은 항이다. 항구의 역할보다는 아름다운 일몰과 카페거리 등 인근 관광지로 더 유명하다. 사수항을 지나는 해안도로를 따라가다 보면 말 모양의 등대가 있는 이호테우 등대와 무지개 해안도로를 만날 수 있다. 근처에는 제주만의 독특한 감성이 묻어나는 카페들이 즐비한 카페거리가 있어 함께 들러보기 좋다. 특히 일몰이 매우 아름다우며, 로맨틱한 분위기를 연출한다.",064-740-6000,,연중무휴,상시 개방,있음,"주차가능,화장실있음"
나홀로나무,,제주특별자치도 제주시 한림읍 금악리 산 30-8,33.3509523839,126.3492166424,"제주에는 유명한 나홀로나무가 두 그루가 있는데, 하나는 항몽유적지 나홀로나무, 그리고 새별오름 나홀로나무가 있다. 제주 새별오름 나홀로나무의 경우, 제주도 오름 2개를 배경으로 서있는 모습이 아름다워 많은 사람이 찾는 곳이다. 제주 새별오름의 나홀로나무가 있는 금악리는 한라산 서남쪽 해안과 산록 지대 사이에 있는 광활한 평야 지대로, 그 가운데 서 있는 나무와의 조화가 미묘한 분위기를 풍기는 매력이 있다. 스냅사진을 찍기 위해 찾는 이들이 많다.",064-740-6000,,연중무휴,,불가,
성산포JC공원,63641,제주특별자치도 서귀포시 성산읍 고성리,33.4392126801,126.9091049559,"성산포 JC공원은 성산읍 고성리에 있는 공원으로 성산 일출봉을 한눈에 볼 수 있는 광치기 해변의 연장선에 있다. 바깥쪽으로는 걷기 좋은 산책로가 있고, 안쪽으로는 잔디가 깔린 초지가 있다. 바다를 바라보는 방향으로 돌로 만든 벤치가 있어서 잠깐 앉아 쉬었다 가기 좋다. 특히 제주 올레길 1코스에 포함돼 있어 올레길을 걷는 이들에게 좋은 쉼터가 되어주는 곳이다. 공원에서 성산 일출봉으로 걷다 보면 노란색으로 물든 유채꽃밭이 있다. 개인 사유지로 유료이지만, 저 멀리 보이는 성산 일출봉과의 조화가 아름다워 들러보는 것도 좋다.",064-760-3192,,연중무휴,상시 개방,있음,"주차가능,화장실있음"
성산포성당,63639,제주특별자치도 서귀포시 성산읍 고성오조로 120,33.4539916768,126.9136569988,"성산포 성당은 1955년 공소가 설립되어 1973년 본당으로 승격된 성당이다. 이 성당은 멀리 보이는 성산 일출봉과 바다가 어우러져 우리나라에 있는 성당 중에서 가장 경치가 뛰어나다는 찬사를 받는 곳이다. 건물 외관도 독특한데, 현대식 기와지붕이 한쪽만 절개되어 가운데에 얹힌 모양을 가지고 있다. 성당 입구에서 먼저 눈에 보이는 둥근 창 모양으로 뚫린 원통 형태의 종탑 역시 특이하다. 뚫려있는 종탑 안쪽은 제주 바다를 연상하게 하는 푸른색 타일로 장식돼 있다. 올레 2코스와 가까워 여행객들이 잠시 쉬며 둘러보기 좋은 장소다.",064-782-0500,,연중무휴,상시개방,주차가능,
고배기동산,63524,제주특별자치도 서귀포시 안덕면 광평리산67,33.3308301199,126.3817114923,"서귀포 안덕면 광평리에 위치한 고배기 동산은 제주 4.3 사건 당시 사라졌던 광평리 마을을 1955년 재건하면서 한라산 아래 첫 마을 사람들에게 삶의 터를 내어준 자연에 감사하는 마음을 담아 만든 숲이다. 과거에는 ‘고백’이라는 사람이 살았다고 해서 ‘고백이 동산’이라고 불렸다고 한다. 고배기 동산 곳곳에 편안하게 휴식을 취할 수 있는 그물망 침대와 벤치도 마련되어 있다. 아무도 없는 숲 속에서 바람에 흔들리는 나뭇잎 소리, 지저귀는 새소리를 들으며 조용히 시간을 보내기 좋다. 구두를 신고도 걸을 수 있을 만큼 산책로가 잘 정비되어 있고 상대적으로 한적해서 데이트 코스로도 제격이다.",제주관광정보센터 064-740-6000,,,,,
서귀진지,63596,제주특별자치도 서귀포시 서귀동,33.2432287988,126.5648114621,조선시대 대표적인 방어유적으로 3성 9진(三城九鎭)의 하나이다. 최초축성은 1439년대로 판단된다. 본래 홀로 천에 있었으나 조선 선조 23년(1590) 이옥 목사가 현재 위치로 옮겨 축성했다. 일제강점기에는 일본군의 관청으로 사용되다가 제주 4.3 사건 이후 이곳의 성담을 헐어 마을을 방어하는 축성용으로 사용하였고 이후에는 주거용 건축용도와 밧담으로 이용되어 지금에는 당시의 성담이었던 담들 이 '우잣담'과 ‘성굽담’으로 일부 남아 있다.,064-710-3410,,,,,
서귀포칠십리시공원,63578,제주특별자치도 서귀포시 현청로 41-19,33.2668788062,126.5546645878,"칠십리시공원은 올레 6코스, 작가의 산책길, 하영올레 등 걷기 길이 지나는 서귀포 공원이다. 칠십리는 제주의 옛 도읍이었던 정의현성 관문에서 서귀진까지의 거리를 말하는 것으로 예로부터 서귀포를 의미해 왔다. 이곳에 서귀포와 제주에 관련된 시비 16기가 있고, 일본 이바라키현과 친선을 기념하는 매화공원이 있다. 가장 유명한 볼거리는 천지연폭포를 조망하는 전망대와 파고라연못이다. 파고라는 서양식 정자를 뜻하며 연못 한가운데 있는 거울 구조물까지 징검다리를 건너 사진을 찍는다. 연못에 비치는 한라산, 매화가 필 때 꽃과 함께 보이는 한라산, 그리고 천지연 폭포와 함께 감상하는 한라산 등 한라산 조망에도 좋은 곳이다. 공원 남쪽 전망대에서는 서귀포항이 내려다 보인다.",064-760-2651,,연중무휴,상시,,
송당무끈모루,63355,제주특별자치도 제주시 비자림로 1661-13,33.4568057445,126.7718858903,"송당무끈모루는 송당리 비자림로에 있다. 모루는 산마루 할 때 마루 즉 작은 언덕을 뜻하지만, 지금은 특별히 경사나 구릉을 느낄 수 없다. 이 장소에 안도르 카페가 생기며 사진 스폿으로 알려지기 시작했다. 나무 사이로 넓은 초록 들판이 보이고, 멀리 삼나무숲과 오름을 배경으로 사진을 찍으면 분위기 있는 장면을 연출할 수 있다. 시외버스를 타면 바로 앞까지 갈 수 있어 뚜벅이 여행자들도 접근이 쉬우며 사진 스폿에는 주말에 줄 서는 사람이 많다. 근처 비밀의 숲으로 유명해진 안돌오름과 묶어 사진을 찍으러 오는 여행자가 많다. 근처 여행지로 아부오름, 비자림, 안돌오름 등이 있다.",064-783-4093,,연중무휴,상시,불가,
샤이니숲길,63346,제주특별자치도 제주시 조천읍 교래리719-10,33.4273100152,126.6617211206,샤이니숲길은 삼다수목장 인근에 위치한 작은 숲길이다. 삼다수목장 입구를 지나 좌측 도로가를 살펴보면 약 200m 길이의 숨겨진 숲길을 찾아볼 수 있다. 나뭇가지 사이로 햇빛이 들어오는 숲길이라 ‘sunshine’에서 붙은 이름이다. 길 양편으로 곧게 뻗은 편백나무와 함께 어우러진 낮은 돌담으로 산책하며 사진을 남기기 좋다. 포토스팟으로 입소문이 나면서 웨딩촬영과 스냅사진 촬영 등으로 많은 사람들이 찾는다.,제주관광정보센터 064-740-6001,,,00:00~24:00,없음,
상가리야자숲,63036,제주특별자치도 제주시 고하상로 326,33.4394649613,126.3584888528,"상가리야자숲은 제주 애월읍 상가리 감귤수출단지선과장 건너편에 있다. 야자수를 판매하는 농장으로 개인 사유지인데 포토존으로 소문이 나면서 여행자들이 찾아오고 있다. 방문자를 위해 벤치, 가랜드 등을 두어 사진을 찍고 갈 수 있도록 하였다. 사계절 내내 푸른 소철과 야자수가 싱그럽고 나무 그늘뿐 아니라 나뭇가지 위로 보이는 파란 하늘도 이국적이다. 주변 여행지로 고내포구, 애월항 한담해안산책로 등이 있다.",010-5381-5208,,연중무휴,09:00~18:00,불가,
산방산 랜드,63528,제주특별자치도 서귀포시 안덕면 사계리117-2,33.2341424783,126.3117113904,"산방산랜드는 산방산과 용머리 해안관광지구에 있다. 소규모 놀이동산으로 우리나라에서 가장 높게 올라가는 바이킹을 비롯해 회전목마, 미니 바이킹, 레일 썰매, 야구 연습장, 사격, 동물 체험 우리가 있다. 2012년 가수 페퍼톤스가 산방산 바이킹을 타고 난 후 '바이킹'이라는 노래를 만들어 더욱 유명해졌으며 수학여행온 학생과 청소년들에게 인기이다. 주변 여행지로 산방산, 용머리해안, 용머리하멜상선전시관, 사계해안 등이 있다.",064-794-1425,,연중무휴,09:00~18:00,공영주차장 있음,
대왕수천예래생태공원,63536,제주특별자치도 서귀포시 상예동5002-26,33.2476589842,126.3964787343,"대왕수천예래생태공원은 올레 8코스, 서귀포 상예동에 있는 습지 공원이다. 이곳에 대왕수라는 산물(용천수)이 흐르는데 아무리 가물어도 수량이 줄지 않고, 예래동 일대에 가장 큰 물이라는 의미로 대왕수라 불러왔다. 보통 제주의 하천은 비가 오지 않을 때 물이 없는 경우가 대부분이라 사시사철 흐르는 이곳의 물은 독특한 풍경이다. 공원 남쪽에는 예래생태체험관이 있으며 봄에는 이 일대가 벚꽃명소로 유명하다. 예래생태공원 일대는 한국반딧불이연구회가 지정한 제1호 반딧불이 보호지역이며 이 대왕수천 하류 쪽에는 여름철 물놀이 장소로 유명한 논짓물이 있다.",064-738-6613,,연중무휴,상시,가능,
삼무공원,63125,제주특별자치도 제주시 신대로10길 48-9,33.4914863265,126.4924649191,"삼무공원은 제주 시내 연동에 있다. 1978년 도시 근린공원으로 조성하였으며 삼무의 의미는 제주에 도둑, 대문, 거지가 없다는 삼무에서 따 온 이름이다. 삼무공원은 베두리오름에 조성된 공원으로, 베두리오름은 높이 85m, 폭 240m, 둘레 617m의 작은 언덕으로 삼무공원이 곧 베두리오름이다. 공원에는 증기기관차가 있는데, 1978년 박정희 대통령이 섬에 사는 아이들에게 기차를 보여주려고 사용이 중단된 기차를 흑산도와 제주도에 보낸 것이다. 현재는 제주도에만 미카형 증기기관차 304호가 남아있다. 연동 주민들이 산책과 운동을 즐기는 공원으로 봄에는 능수 벚꽃이 아름다워 여행자들이 찾아온다.",064-746-0227,,연중무휴,00:00~24:00,없음 (삼무공원 인근의 공터 이용),
답다니수국밭,63562,제주특별자치도 서귀포시 월평로50번길 17-30,33.2438882462,126.4642673842,"답다니수국밭은 서귀포시 월평동 동병듸 버스정류장 근처에 있다. 입장료를 내면 입장과 함께 수국 한 송이를 제공하며 집, 벤치, 테이블 등 다양한 포토존에서 인생 사진을 찍을 수 있다. 수국 특유의 화려하고 탐스러운 이미지 덕분에 웨딩스냅샷 명소로도 알려져 있다. 6~7월 중 개화 시기에 맞춰 영업하며, 날씨와 개화 상황에 따라 개방이 유동적이기 때문에 SNS를 통해 개방 여부 확인 후 방문하길 추천한다. 주변 여행지로 약천사, 대포주상절리, 중문관광단지 등이 있다.",0507-1488-1009,,공지 기간 동안 휴무없이 운영,08:00~20:00,있음,
산방산유채꽃밭,63528,제주특별자치도 서귀포시 안덕면 사계리산16,33.2424165996,126.3139554558,"산방산유채꽃밭은 산방산랜드 앞 공영주차장에서 찾아갈 수 있다. 산방산을 배경으로 한 유채꽃밭이 몇 군데 있으며, 이중 선택하여 입장하면 된다. 개인이 밭농사 대신 유채꽃밭을 가꾸어 운영하는 사유지로, 사진 촬영료를 받고 있다. 보통 3월이면 만개한 유채꽃과 함께 산방산이 노란 카펫을 깔고 앉은 듯한 사진을 찍을 수 있다. 주변 여행지로 산방산, 용머리해안, 사계 해안 등이 있다.",064-760-2651,,연중무휴,10:00~18:00,있음(공영주차장),
쉬리의언덕,63535,제주특별자치도 서귀포시 색달동3093-1,33.2456204901,126.4072611777,"'쉬리의 언덕'은 제주 중문단지 내 신라호텔과 파르나스호텔 (구 하얏트호텔) 사이의 산책로에 있다. 1999년에 개봉한 강제규 감독, 한석규, 최민식 주연의 영화 ‘쉬리’의 마지막 장면을 촬영한 장소이다. 영화 '쉬리'는 제35회 백상예술대상 영화 부문 대상을 비롯해 다수의 수상을 기록했고 한국 영화의 한 획을 그은 영화로 평가받고 있다. 특히 쉬리의 언덕 장면과 함께 'When I dream' OST가 많은 사람에게 각인되어 명소로 사랑받고 있다. 영화 속에서 배우 한석규와 김윤진이 앉았던 '쉬리 벤치'에서는 중문 색달 해수욕장과 제주 남쪽 바다를 시원하게 조망할 수 있으며 바다를 배경으로 사진 찍기에도 좋다.",064-735-5114,,연중무휴,상시개방,있음,
나바론하늘길,63000,제주특별자치도 제주시 추자면 대서리산186,33.9612503055,126.2866221544,"나바론하늘길은 제주 상추자도에 있다. 큰 산에서 독산까지 이어지는 2.1km 도보길로 산의 능선을 따라 걷는다. 길을 걷는 동안 추자섬에서 보이는 망망대해를 감상하며, 중간에는 숲길을 지나고, 상추자도항과 포구마을의 모습도 볼 수 있다. 아찔한 절벽의 모습이 영화 ‘나바론요새’에 등장하는 지중해섬과 닮았다고 해서 붙여진 이름이다. 산 위로 오르는 길이 가파를 뿐 아니라 길폭이 좁으며 가드 바깥은 낭떠러지이므로 안전에 유의하여 걸어야 한다.",064-740-6000,,없음,24시간,없음,
신촌 4.3 성터,63337,제주특별자치도 제주시 조천읍 신촌리(3403),33.5377303544,126.6131117136,"신촌리는 신촌회담을 통해 제주 4.3 항쟁을 결의한 곳으로 항일운동을 가장 활발하게 펼치고 조천 만세운동을 일으킨 조천읍 작은 바닷가 마을이다. 신촌리의 4.3 성터는 제주도 4.3 사건 당시에 사람들을 감시하기 위한 목적으로 돌을 직접 쌓아 만든 성터로, 우리 역사의 단면을 보여주는 곳이다. 닭머르해안 인근에 위치하고 있어, 관광객들이 해안길 방문을 위해 자주 찾는 곳이다. 이곳은 닭머르해안길은 해안누리길 50코스에 포함되어 있다. 역사를 알아보고 중간중간 휴식을 취할 수 있는 의자에서 잠깐 쉬어가며 풍경을 감상하고 산책을 즐길 수 있다.",064-740-6000,,연중무휴,상시,가능<br>요금 (무료),
서귀포 패류화석산지,63594,제주특별자치도 서귀포시 남성중로 43 (서홍동),33.2398207377,126.5582787717,"서귀포층의 패류화석은 서귀포시 남서 해안 절벽에 있는 조개종류의 화석을 말한다. 이 절벽에는 퇴적암층이 드러나 있고 거친면이 현무암으로 덮여 있다. 이 화석층에서는 조개화석 위주의 동물화석이 많이 발견된다. 약 180만년 전부터 50만년 전에 화석생물과 함께 쌓여 이루어진 것으로 추정되며, 그 후 100m 정도 솟아오른 곳이 물결로 인해 깎여서 절벽으로 변했다. 서귀포층에서 발견된 화석으로는 부족류, 달팽이·전복·우렁이와 같은 복족류, 굴족류, 완족류, 성게·해삼·불가사리 등의 극피동물, 산호화석, 고래와 물고기 뼈, 상어이빨 등의 화석이 있다. 미화석으로는 바다에 사는 단세포동물인 유공충이 있다. 위와 같은 조개화석은 현재에도 존재하는 것이지만, 대부분 근처 해안에서는 발견되지 않고 더 따뜻한 남쪽바다에서 발견된다. 이는 서귀포층이 쌓일 당시의 바다가 지금보다 따뜻했음을 말해준다. (출처 : 제주관광공사 홈페이지)",064-740-6000,,연중무휴,상시개방,,
루나폴,63527,제주특별자치도 서귀포시 일주서로 1836,33.2514073999,126.3219962251,"루나폴은 12만 평의 세계 최대 규모의 나이트 디지털 테마파크이다. ‘예로부터 사람들은 달에 소원을 빌었고, 소원이 가득 쌓여 무거워진 달이 제주에 떨어졌다’라는 스토리를 기반으로 밤길을 걸으며 즐기는 몰입형 체험 콘텐츠를 제공한다. 루나폴은 미디어아트와 홀로그램 등 실감미디어 기술력으로 꾸며진 총 9개의 체험존으로 구성되어 있다. 루나폴 세계관을 재현한 ‘루나 빌리지’, 달의 민족 ‘루나리안’, 달의 민족들이 사용한 언어 ‘루나리안어’ 등 세계관이 매우 풍부하게 구현되어 있어 몰입도를 더욱 높인다. 루나폴만의 세계관과 제주의 청정자연, 최정상 실감미디어 기술력이 만난 루나폴 판타지는 곶자왈이 포함된 천연 보호구역으로 비포장 숲길이 포함되어 있으므로, 일부 동선에 주의를 요하기에 안전하고 편안한 신발과 복장을 추천한다.",064-794-9680,,연중무휴,20:00~24:00 (입장마감 23:00)<br> ※ 계절별 운영시간 변동될 수 있으므로 홈페이지 참조 또는 전화문의 요망,가능 (약 150대),
금능포구,63010,제주특별자치도 제주시 한림읍 금능리,33.3902295795,126.2351090186,‘금능포구’는 활기찬 해수욕장과는 또 다른 분위기로 한적하고 평화로운 바다의 모습을 감상할 수 있는 곳이다. 작은 선박들이 드나드는 작은 포구로 아담한 느낌이 있다. 어선들이 정박해 있는 모습이 마치 그림처럼 아름답다. 이곳은 2022년도 tvN 방영 드라마 ‘우리들의 블루스’ 드라마 속 많은 장면의 배경이 된 곳이며 해녀들의 대화 장소였던 정자가 있는 공터도 드라마를 본 이들에겐 특별하다. 박정준(김우빈)이 버스를 주차해 두고 이영옥(한지민)과 오붓한 시간을 보내곤 했던 장소이기 때문이다. 그 뒤로 보이는 방파제로 들어서면 귀여운 벽화가 그려져 있고 그 끝에 하얀 등대가 있다. 그 주변에는 많은 돌탑들이 쌓여있는데 하얀 등대와 돌탑을 배경으로 멋진 풍경 사진을 찍으며 추억을 남기기 좋은 장소이다.,064-728-7672,,연중무휴,00:00 ~ 24:00,가능,
무민랜드 제주,63525,제주특별자치도 서귀포시 병악로 420,33.3070133076,126.3817036921,"무민은 핀란드 국민 작가 토베 얀손의 작품으로 75년이 넘도록 많은 사랑을 받는 캐릭터이다. 무민랜드 제주는 무민이야기가 예술로 살아 숨쉬는 감성 공간으로 무민하우스동과 무민라운지 동으로 2개의 공간이 있다. 무민하우스동은 지하 1층부터 4층까지이고 지하 1층이 입구이며 기프트샵과 웰컴포토존이 있다. 1층은 토베얀손 히스토리, 무민 캐릭터소개, 무민하우스 전시공간이다. 2층은 영상관, 3층은 미디어 아트와 체험존으로 매직볼풀장과 무민 3D MR 체험존이 있으며 4층은 무민정원이다. 무민라운지 동은 1층에는 무민 기프트 샵과 힐링파크 2층에는 북카페가 있다. 파스텔톤의 공간 구성이 무민의 다양한 캐릭터와 함께 어디서 사진을 찍더라도 포토존이다. 실내로 이루어져 비가 오거나 날이 궂을 때 방문하기 좋고, 카페만 이용하는 것도 가능하다. 가까운 거리에 건축물로 유명한 방주교회와 본태박물관이 있다.",064-794-0420,,연중무휴,10:00~19:00(전시관 입장마감 18:00),있음(약 소형 30대)<br>요금(무료),화장실있음
산양큰엉곶,63006,제주특별자치도 제주시 한경면 청수리청수리 956-6,33.29072971,126.2503099104,"산양큰엉곶은 곶자왈 지대로서 제주4대 곶자왈중 한경-안덕 곶자왈에 속해 있으며 평지가 아닌 숲을 뜻하고 크게 달구지길과 숲길로 나누어져 있다. 달구지길은 남녀노소뿐만 아니라 휠체어 및 유모차로도 탐방이 가능하며 동화 속 숲속의 작은 마을을 구현하여 마녀의 집, 공주의 집, 난쟁이의 집, 숲속의 기찻길, 새 둥지와 같은 포토존이 많이 있으며 소와 말이 달구지를 끌고 가는 제주의 옛 모습을 볼 수 있다. 숲길 탐방로는 곶자왈의 원시림을 깊이 즐길 수 있으며 총 3.5km의 길로 다양한 식생과 독특한 생태계가 형성되어 있다. 3.5km에 달하는 생태숲길은 마치 동화나라로 초대받은 기분이 든다. 박공지붕의 통나무집, 조릿대로 엮은 집채만 한 새 둥지, 다람쥐 바퀴 모양의 그네, 곶자왈 속 작은 기찻길 등 자연과 하나 된 포토존에 눈을 뗄 수 없다. 달구지길은 나무로 둘러싸인 숲길을 유모차와 휠체어도 다닐 수 있는 무장애 길이다. 걷다가 만나는 소달구지와 말달구지는 산양큰엉곶만의 매력이다. 책에서만 만나던 황소와 제주 조랑말을 직접 눈 앞에서 볼 수 있음에 아이들은 반가워한다. 소달구지와 말달구지는 직접 탑승하고 체험할 수 있으며 먹이 주기와 꽃 팔지 만들기, 키즈 가드닝, 식물 옮겨심기 등 체험학습도 다양하게 진행 중이다. 숲길 탐방로는 원시림을 깊이 즐기고 싶은 올레객에게 안성맞춤이다. 한 사람씩 걸을 수 있는 호젓한 숲길은 자연 친화적으로 정비되어 있어 오롯이 자연을 느끼며 감성적 그리움에 빠져들기 좋다. 계절마다 다른 식물과 꽃들이 각각의 향기로 코끝을 자극하는 곳이다. 화산 활동으로 인한 다양한 식생과 독특한 생태계는 제주에서만 볼 수 있는 풍경이다. 숯을 생산했던 숯가마터와 4.3당시 마을 사람들이 피신했던 궤(굴)도 볼 수 있어 제주의 아픔까지 느낄 수 있는 숲길이다. 단, 달구지길이 아닌 숲길 탐방 시에는 트래킹화나 운동화를 착화할 것을 권한다. 매년 6월 중순부터 한 달 동안은 반딧불이 탐방 행사가 열린다. 산양큰엉곶은 반딧불이가 많이 나오는 명소로도 유명해 보고 간 사람들의 좋은 후기가 행사를 진행하는 마을 사람들 공동체에 큰 힘이 되고 있다. 반딧불이는 나오는 시기가 한정적이라 이때를 놓치면 1년을 기다려야 하는 건 참을 수 없는 아쉬움이다.",0507-1341-4229,,연중무휴,- 하절기 (3월~10월) : 09:30 ~ 18:00 (발권 및 입장 마감 17:00)<br> - 동절기 (11월 ~2월) : 09:30 ~ 17:00 (발권 및 입장 마감 16:00),,
성읍녹차동굴,63624,제주특별자치도 서귀포시 중산간동로 4772,33.381089421,126.7912859405,성읍녹차동굴은 제주에서 유명한 천연 용암 동굴 포토존이다. 동굴 안쪽에서 동굴 입구를 바라보며 찍는 사진은 미묘하고 신비로운 느낌을 준다. 성읍녹차마을 다원 안에 있어 드넓은 녹차밭 풍경과 동굴을 동시에 감상할 수 있다. 주차장에서 녹차밭을 따라 15~20분 정도 걸어가면 작은 숲이 보이고 그 안쪽으로 들어가면 작은 동굴이 나오는데 여기에서 조금 더 들어가면 더 깊고 큰 동굴이 있다. 큰 동굴 안쪽에서 바깥쪽을 향해 사진을 찍으면 미묘한 색감으로 사진이 잘 나온다. 동굴은 성읍녹차마을 다원 안에 있으므로 길도우미에 ‘오늘은 녹차한잔’ 혹은 ‘성읍녹차마을’로 목적지를 정해서 오면 된다. ‘오늘은녹차한잔’ 카페 1층에는 녹차 기념품 샵과 족욕 체험장이 있고 2층은 베이커리 카페가 있다.,064-787-6888,,연중무휴,매일 09:00~18:00,가능(카페 '오늘은 녹차한잔' 앞)<br>요금(무료),
성읍녹차마을,63624,제주특별자치도 서귀포시 중산간동로 4778 녹차가공공장,33.3813449392,126.7906832086,"성읍녹차마을은 녹차를 키워 생산하고 다양한 녹차 관련 상품도 만드는 다원이다. 유기물 함량이 높고 물 빠짐이 좋은 화산회토와 깨끗한 화산 암반수를 지닌 천혜의 자연 조건을 가진 제주에서 키워 만들어낸 녹차를 이용한 떡, 아이스크림 등을 판매하는 카페도 같이 운영하고 있다. 녹차를 테마로 한 카페에서는 족욕도 체험할 수 있고, 카트 체험장도 있다. 녹차마을 뒤편 숲으로 이어지는 길에는 독특한 동굴도 있는데 녹차 동굴로도 불리는 이곳은 작지만 녹차밭과 어우러진 독특한 뷰 덕분에 이색 관광지로 주목받고 있다. 한라산과 영주산을 배경으로 녹차밭 한가운데 있는 동굴에서 인생샷을 찍는 명소로 유명하기도 하다. 이모저모 구경할 거리와 즐길 거리가 있는 성읍녹차마을에 들러 끝없이 펼쳐진 푸르른 녹차 밭도 구경하며 차 한 잔의 여유도 즐길 수 있다. 2022년 한국 관광 해외 홍보영상 BTS 필더리듬오브코리아 제주편에 소개된 장소이기도 하다.",064-787-2254,,연중무휴,매일 09:00~17:00,있음,화장실있음
수산한못,63630,제주특별자치도 서귀포시 성산읍 수산리,33.4290849574,126.843227563,"수산한못은 과거 수산정(벌판, 초원)의 마장의 말과 소에게 물을 먹이고 화산 지형으로 인해 물이 귀한 제주 지역 주민들의 식수로도 사용해왔던 유래 깊은 곳이다. 수산한못 이름의 한은 크다라는 뜻으로 수산평에 있는 큰 못이라는 뜻을 가지고 있다고 한다. 이곳은 말물통이라고도 불리기도 했는데 고려시대 삼별초를 진압하고 여몽 연합군이 일본 정벌 목적으로 군마를 키우면서 인공적으로 조성되었다고 하니 역사적 의미가 있다. 이 곳은 8~9월 경 보라색 꽃을 피우는 멸종위기 야생 식물인 전주물꼬리풀 복원지이기도 하고, 가을에는 억새의 조화가 멋진 풍경을 자아내어 가을 매력을 충분히 느낄 수 있다. 제주에서 물이 고여 있는 저수지나 연못에서 한라산 전경을 한눈에 볼 수 있는 곳은 그리 많지 않은데, 수산한못은 연못에서 한라산이 그대로 펼쳐져 아름다운 장관을 보여준다. 잔잔히 퍼지는 연못을 따라 길지는 않지만 산책코스가 잘 정비되어 있고 정자가 두 군데 있으나 그늘이 별로 없으므로 풀이 아주 무성하게 자라는 한여름은 피해 방문하길 권하며 가을엔 억새도 가득하다. 특히, 여기는 곳곳의 위치에 따라 달라 보이는 반영 사진이 예쁘게 나오는 곳이므로 맑은 하늘과 뭉게구름이 못에 비치는 날에 방문하거나 가족이나 연인끼리 피크닉 세트를 준비해 방문한다면 잔잔하고 고요한 풍경의 SNS 감성 가득한 사진을 찍을 수 있다. 시간적 여유가 있다면 늦은 오후 멋진 노을과 일몰도 마주해 보는 것도 좋겠다.",064-740-6000,,,상시개방,있음(연못 부근)<br>요금(무료),
